2/05/2024,4:50:54 PM,19.7,19.8, -OL, -OL
2/05/2024,4:51:04 PM,20.1,19.8, -OL, -OL
2/05/2024,4:51:14 PM,20.7,19.8, -OL, -OL
2/05/2024,4:51:24 PM,21.2,19.8, -OL, -OL
2/05/2024,4:51:34 PM,21.5,19.9, -OL, -OL
2/05/2024,4:51:44 PM,21.8,19.9, -OL, -OL
2/05/2024,4:51:54 PM,22.3,19.9, -OL, -OL
2/05/2024,4:52:04 PM,22.6,19.9, -OL, -OL
2/05/2024,4:52:14 PM,22.8,20.0, -OL, -OL
2/05/2024,4:52:24 PM,23.0,20.0, -OL, -OL
2/05/2024,4:52:34 PM,23.2,20.0, -OL, -OL
2/05/2024,4:52:44 PM,23.4,20.0, -OL, -OL
2/05/2024,4:52:54 PM,23.7,20.0, -OL, -OL
2/05/2024,4:53:04 PM,23.8,20.0, -OL, -OL
2/05/2024,4:53:14 PM,23.9,20.0, -OL, -OL
2/05/2024,4:53:24 PM,24.1,20.0, -OL, -OL
2/05/2024,4:53:34 PM,24.2,19.9, -OL, -OL
2/05/2024,4:53:44 PM,24.3,19.9, -OL, -OL
2/05/2024,4:53:54 PM,24.4,19.9, -OL, -OL
2/05/2024,4:54:04 PM,24.6,19.9, -OL, -OL
2/05/2024,4:54:14 PM,24.7,19.9, -OL, -OL
2/05/2024,4:54:24 PM,24.7,19.9, -OL, -OL
2/05/2024,4:54:34 PM,24.8,19.7, -OL, -OL
2/05/2024,4:54:44 PM,24.8,19.7, -OL, -OL
2/05/2024,4:54:54 PM,24.9,19.7, -OL, -OL
2/05/2024,4:55:04 PM,24.9,19.7, -OL, -OL
2/05/2024,4:55:14 PM,25.1,19.7, -OL, -OL
2/05/2024,4:55:24 PM,25.1,19.7, -OL, -OL
2/05/2024,4:55:34 PM,25.2,19.7, -OL, -OL
2/05/2024,4:55:44 PM,25.2,19.7, -OL, -OL
2/05/2024,4:55:54 PM,25.3,19.7, -OL, -OL
2/05/2024,4:56:04 PM,25.3,19.7, -OL, -OL
2/05/2024,4:56:14 PM,25.3,19.7, -OL, -OL
2/05/2024,4:56:24 PM,25.4,19.9, -OL, -OL
2/05/2024,4:56:34 PM,25.4,19.9, -OL, -OL
2/05/2024,4:56:44 PM,25.5,19.9, -OL, -OL
2/05/2024,4:56:54 PM,25.5,19.9, -OL, -OL
2/05/2024,4:57:04 PM,25.5,19.9, -OL, -OL
2/05/2024,4:57:14 PM,25.5,19.9, -OL, -OL
2/05/2024,4:57:24 PM,25.6,19.9, -OL, -OL
2/05/2024,4:57:34 PM,25.6,20.0, -OL, -OL
2/05/2024,4:57:44 PM,25.6,20.0, -OL, -OL
2/05/2024,4:57:54 PM,25.6,20.0, -OL, -OL
2/05/2024,4:58:04 PM,25.7,20.0, -OL, -OL
2/05/2024,4:58:14 PM,25.7,20.0, -OL, -OL
2/05/2024,4:58:24 PM,25.7,20.0, -OL, -OL
2/05/2024,4:58:34 PM,25.7,20.0, -OL, -OL
2/05/2024,4:58:44 PM,25.8,20.0, -OL, -OL
2/05/2024,4:58:54 PM,25.8,20.0, -OL, -OL
2/05/2024,4:59:04 PM,25.8,20.0, -OL, -OL
2/05/2024,4:59:14 PM,25.8,20.0, -OL, -OL
2/05/2024,4:59:24 PM,25.8,20.0, -OL, -OL
2/05/2024,4:59:34 PM,25.8,20.0, -OL, -OL
2/05/2024,4:59:44 PM,25.8,20.0, -OL, -OL
2/05/2024,4:59:54 PM,25.9,20.0, -OL, -OL
2/05/2024,5:00:04 PM,25.9,20.0, -OL, -OL
2/05/2024,5:00:14 PM,25.9,20.0, -OL, -OL
2/05/2024,5:00:24 PM,25.9,20.1, -OL, -OL
2/05/2024,5:00:34 PM,25.9,20.1, -OL, -OL
2/05/2024,5:00:44 PM,25.9,20.1, -OL, -OL
